"fkMaquina","fkComponte","dataEhora","valor","unidadeDeMedida"
1,2,2022-06-09,54.4,"%"
1,2,2022-06-10,88.4,"%"
1,2,2022-06-11,44.4,"%"
1,2,2022-06-12,69.4,"%"
1,2,2022-06-13,77.4,"%"
1,2,2022-06-14,79.4,"%"
1,2,2022-06-15,52.4,"%"
1,2,2022-06-16,58.4,"%"
1,2,2022-06-17,72.4,"%"
1,2,2022-06-18,87.4,"%"
1,2,2022-06-19,59.4,"%"
1,2,2022-06-20,42.4,"%"
1,2,2022-06-21,40.4,"%"
1,2,2022-06-22,67.4,"%"
1,2,2022-06-23,81.4,"%"
1,2,2022-06-24,46.4,"%"
1,2,2022-06-25,52.4,"%"
1,2,2022-06-26,85.4,"%"
1,2,2022-06-27,80.4,"%"
1,2,2022-06-28,72.4,"%"
1,2,2022-06-29,37.4,"%"
1,2,2022-06-30,34.4,"%"
1,2,2022-07-01,73.4,"%"
1,2,2022-07-02,63.4,"%"
1,2,2022-07-03,63.4,"%"
1,2,2022-07-04,85.4,"%"
1,2,2022-07-05,58.4,"%"
1,2,2022-07-06,49.4,"%"
1,2,2022-07-07,57.4,"%"
1,2,2022-07-08,87.4,"%"
1,2,2022-07-09,44.4,"%"
1,2,2022-07-10,81.4,"%"
1,2,2022-07-11,53.4,"%"
1,2,2022-07-12,73.4,"%"
1,2,2022-07-13,36.4,"%"
1,2,2022-07-14,62.4,"%"
1,2,2022-07-15,69.4,"%"
1,2,2022-07-16,85.4,"%"
1,2,2022-07-17,77.4,"%"
1,2,2022-07-18,55.4,"%"
1,2,2022-07-19,82.4,"%"
1,2,2022-07-20,75.4,"%"
1,2,2022-07-21,53.4,"%"
1,2,2022-07-22,44.4,"%"
1,2,2022-07-23,88.4,"%"
1,2,2022-07-24,41.4,"%"
1,2,2022-07-25,79.4,"%"
1,2,2022-07-26,54.4,"%"
1,2,2022-07-27,78.4,"%"
1,2,2022-07-28,35.4,"%"
1,2,2022-07-29,76.4,"%"
1,2,2022-07-30,46.4,"%"
1,2,2022-07-31,79.4,"%"
1,2,2022-08-01,39.4,"%"
1,2,2022-08-02,41.4,"%"
1,2,2022-08-03,77.4,"%"
1,2,2022-08-04,65.4,"%"
1,2,2022-08-05,69.4,"%"
1,2,2022-08-06,78.4,"%"
1,2,2022-08-07,47.4,"%"
1,2,2022-08-08,86.4,"%"
1,2,2022-08-09,49.4,"%"
1,2,2022-08-10,56.4,"%"
1,2,2022-08-11,66.4,"%"
1,2,2022-08-12,73.4,"%"
1,2,2022-08-13,73.4,"%"
1,2,2022-08-14,43.4,"%"
1,2,2022-08-15,58.4,"%"
1,2,2022-08-16,41.4,"%"
1,2,2022-08-17,51.4,"%"
1,2,2022-08-18,86.4,"%"
1,2,2022-08-19,42.4,"%"
1,2,2022-08-20,40.4,"%"
1,2,2022-08-21,40.4,"%"
1,2,2022-08-22,43.4,"%"
1,2,2022-08-23,57.4,"%"
1,2,2022-08-24,87.4,"%"
1,2,2022-08-25,56.4,"%"
1,2,2022-08-26,59.4,"%"
1,2,2022-08-27,76.4,"%"
1,2,2022-08-28,66.4,"%"
1,2,2022-08-29,62.4,"%"
1,2,2022-08-30,84.4,"%"
1,2,2022-08-31,43.4,"%"
1,2,2022-09-01,86.4,"%"
1,2,2022-09-02,87.4,"%"
1,2,2022-09-03,46.4,"%"
1,2,2022-09-04,76.4,"%"
1,2,2022-09-05,44.4,"%"
1,2,2022-09-06,58.4,"%"
1,2,2022-09-07,85.4,"%"
1,2,2022-09-08,59.4,"%"
1,2,2022-09-09,40.4,"%"
1,2,2022-09-10,58.4,"%"
1,2,2022-09-11,56.4,"%"
1,2,2022-09-12,59.4,"%"
1,2,2022-09-13,65.4,"%"
1,2,2022-09-14,53.4,"%"
1,2,2022-09-15,57.4,"%"
1,2,2022-09-16,42.4,"%"
1,2,2022-09-17,74.4,"%"
1,2,2022-09-18,70.4,"%"
1,2,2022-09-19,56.4,"%"
1,2,2022-09-20,47.4,"%"
1,2,2022-09-21,79.4,"%"
1,2,2022-09-22,39.4,"%"
1,2,2022-09-23,60.4,"%"
1,2,2022-09-24,34.4,"%"
1,2,2022-09-25,59.4,"%"
1,2,2022-09-26,75.4,"%"
1,2,2022-09-27,82.4,"%"
1,2,2022-09-28,50.4,"%"
1,2,2022-09-29,62.4,"%"
1,2,2022-09-30,59.4,"%"
1,2,2022-10-01,60.4,"%"
1,2,2022-10-02,54.4,"%"
1,2,2022-10-03,40.4,"%"
1,2,2022-10-04,86.4,"%"
1,2,2022-10-05,59.4,"%"
1,2,2022-10-06,74.4,"%"
1,2,2022-10-07,53.4,"%"
1,2,2022-10-08,39.4,"%"
1,2,2022-10-09,83.4,"%"
1,2,2022-10-10,63.4,"%"
1,2,2022-10-11,64.4,"%"
1,2,2022-10-12,62.4,"%"
1,2,2022-10-13,50.4,"%"
1,2,2022-10-14,70.4,"%"
